"rules","support","confidence","lift","count"
"{hamburger meat} => {other vegetables}",0.0138281647178444,0.415902140672783,2.14944695402881,136
"{sausage,yogurt} => {other vegetables}",0.00813421453990849,0.414507772020725,2.14224063994947,80
"{baking powder} => {other vegetables}",0.00732079308591764,0.413793103448276,2.13854712160473,72
"{grapes} => {other vegetables}",0.0090493136756482,0.404545454545455,2.09075383365977,89
"{whipped/sour cream} => {other vegetables}",0.0288764616166751,0.402836879432624,2.08192365171827,284
"{hard cheese} => {other vegetables}",0.00945602440264362,0.385892116182573,1.99435047958781,93
"{meat} => {other vegetables}",0.0099644128113879,0.385826771653543,1.99401276889784,98
"{beef} => {other vegetables}",0.0197254702592781,0.375968992248062,1.94306623161308,194
"{pork} => {other vegetables}",0.0216573462125064,0.375661375661376,1.94147642124521,213
"{pastry,yogurt} => {other vegetables}",0.00660904931367565,0.373563218390805,1.93063281811538,65
"{butter milk} => {other vegetables}",0.0103711235383833,0.370909090909091,1.9169158744566,102
"{frozen vegetables} => {other vegetables}",0.0177935943060498,0.369978858350951,1.91210828790416,175
"{sliced cheese} => {other vegetables}",0.0090493136756482,0.369294605809129,1.90857196433672,89
"{flour} => {other vegetables}",0.00630401626842908,0.362573099415205,1.87383417380375,62
"{butter} => {other vegetables}",0.0200305033045247,0.361467889908257,1.86812227916327,197
"{coffee,other vegetables} => {whole milk}",0.00640569395017794,0.477272727272727,1.86787794378324,63
"{pickled vegetables} => {other vegetables}",0.00640569395017794,0.357954545454545,1.84996476854727,63
"{bottled beer,other vegetables} => {whole milk}",0.00762582613116421,0.471698113207547,1.8460608608819,75
"{oil} => {other vegetables}",0.0099644128113879,0.355072463768116,1.83506972210164,98
"{bottled water,yogurt} => {other vegetables}",0.00813421453990849,0.353982300884956,1.82943559075331,80
"{other vegetables,soda} => {yogurt}",0.0083375699034062,0.254658385093168,1.82548485232602,82
"{curd,yogurt} => {other vegetables}",0.00610066090493137,0.352941176470588,1.82405489783932,60
"{citrus fruit,yogurt} => {other vegetables}",0.00762582613116421,0.352112676056338,1.81977307883031,75
"{ham} => {other vegetables}",0.00915099135739705,0.3515625,1.81692968339464,90
"{domestic eggs} => {other vegetables}",0.0222674123029995,0.350961538461538,1.81382382068798,219
"{citrus fruit} => {other vegetables}",0.0288764616166751,0.348894348894349,1.80314026346606,284
"{soda,tropical fruit} => {other vegetables}",0.00721911540416879,0.346341463414634,1.78994655422119,71
"{cream cheese} => {other vegetables}",0.0137264870360956,0.346153846153846,1.78897691903472,135
"{pip fruit} => {other vegetables}",0.026131164209456,0.345430107526882,1.78523652523746,257
"{other vegetables,sausage} => {rolls/buns}",0.00884595831215048,0.328301886792453,1.78488062830502,87
"{tropical fruit} => {other vegetables}",0.0358922216573462,0.342054263565891,1.7677896385552,353
"{margarine} => {other vegetables}",0.0197254702592781,0.336805555555556,1.74066349915338,194
"{bottled water,tropical fruit} => {other vegetables}",0.00620233858668022,0.335164835164835,1.73218400097013,61
"{rolls/buns,yogurt} => {other vegetables}",0.0114895780376207,0.334319526627219,1.72781531496516,113
"{detergent} => {other vegetables}",0.00640569395017794,0.333333333333333,1.72271851462603,63
"{bottled water,other vegetables} => {whole milk}",0.0107778342653787,0.434426229508197,1.70019178957943,106
"{newspapers,other vegetables} => {whole milk}",0.0083375699034062,0.431578947368421,1.689048526609,82
"{white bread} => {other vegetables}",0.0137264870360956,0.326086956521739,1.68526811213416,135
"{curd} => {other vegetables}",0.0171835282155567,0.322519083969466,1.66682879182328,169
"{other vegetables,soda} => {whole milk}",0.0139298423995933,0.425465838509317,1.66512396408242,137
"{sugar} => {other vegetables}",0.0107778342653787,0.318318318318318,1.64511858153477,106
"{rolls/buns,tropical fruit} => {other vegetables}",0.00782918149466192,0.318181818181818,1.64441312759757,77
"{other vegetables,rolls/buns} => {whole milk}",0.0178952719877987,0.420047732696897,1.64391939955192,176
"{other vegetables,soda} => {rolls/buns}",0.00986273512963904,0.301242236024845,1.63776527988079,97
"{dessert} => {other vegetables}",0.0115912557193696,0.312328767123288,1.61416364932083,114
"{yogurt} => {other vegetables}",0.0434163701067616,0.311224489795918,1.6084565723294,427
"{bottled water,other vegetables} => {rolls/buns}",0.00732079308591764,0.295081967213115,1.60427371340021,72
"{berries} => {other vegetables}",0.0102694458566345,0.308868501529052,1.59628045850669,101
"{soda,yogurt} => {other vegetables}",0.0083375699034062,0.304832713754647,1.57542287954648,82
"{bottled water,rolls/buns} => {other vegetables}",0.00732079308591764,0.302521008403361,1.56347562671942,72
"{other vegetables,sausage} => {soda}",0.00721911540416879,0.267924528301887,1.53646515209858,71
"{sausage,soda} => {other vegetables}",0.00721911540416879,0.297071129707113,1.53530980592194,71
"{other vegetables} => {whole milk}",0.0748347737671581,0.386757750919601,1.51363409482462,736
"{whole milk} => {other vegetables}",0.0748347737671581,0.292877039395145,1.51363409482462,736
"{pastry,rolls/buns} => {other vegetables}",0.00610066090493137,0.29126213592233,1.50528802248876,60
"{fruit/vegetable juice} => {other vegetables}",0.0210472801220132,0.291139240506329,1.50465287986324,207
"{hygiene articles} => {other vegetables}",0.00955770208439248,0.290123456790123,1.49940315161895,94
"{rolls/buns,sausage} => {other vegetables}",0.00884595831215048,0.289036544850498,1.49378582165247,87
"{brown bread} => {other vegetables}",0.0187086934417895,0.288401253918495,1.49050253930026,184
"{sausage} => {other vegetables}",0.0269445856634469,0.286796536796537,1.48220911161006,265
"{long life bakery product} => {other vegetables}",0.0106761565836299,0.285326086956522,1.47460959811739,105
"{salty snack} => {other vegetables}",0.0107778342653787,0.28494623655914,1.47264647218032,106
"{other vegetables,pastry} => {rolls/buns}",0.00610066090493137,0.27027027027027,1.46937982758878,60
"{cat food} => {other vegetables}",0.00650737163192679,0.279475982532751,1.44437534850741,64
"{frankfurter} => {other vegetables}",0.0164717844433147,0.279310344827586,1.44351930708319,162
"{other vegetables,yogurt} => {rolls/buns}",0.0114895780376207,0.26463700234192,1.4387534096367,113
"{napkins} => {other vegetables}",0.0144382308083376,0.275728155339806,1.4250059946227,142
"{other vegetables,root vegetables} => {rolls/buns}",0.0122013218098627,0.257510729613734,1.40000996448373,120
"{frozen meals} => {other vegetables}",0.00752414844941535,0.265232974910394,1.37076526970243,74
"{waffles} => {other vegetables}",0.0100660904931368,0.261904761904762,1.35356454720617,99
"{rolls/buns,soda} => {other vegetables}",0.00986273512963904,0.257294429708223,1.3297376333055,97
"{chocolate} => {other vegetables}",0.012709710218607,0.256147540983607,1.32381033398517,125
"{pastry} => {other vegetables}",0.0225724453482461,0.253714285714286,1.31123489227535,222
"{other vegetables,shopping bags} => {whole milk}",0.00762582613116421,0.328947368421053,1.28738454772028,75
